Question,Answer,,,,,,
What is the Market Watch list and how can I create a custom MarketWatch list on Shoonya?,"With the help of the Market Watch, you are able to view market information of the chosen scrips. You can create a customized watchlist by following these steps: - 

Click on the green ""+"" icon located near ""enter stock symbol"". and name the watchlist according to your preference. - Once done, click on ""Create"" To add scrips to this watchlist, Simply enter the name of the scrip you want to add in the "" Enter Stock Symbol"" section. 

You can edit the Watchlist by click on the ""Pencil"" like icon, next to ""+"" To view different watchlists, click on More > dropdown.

Please find below youtube videos links: 

How to create a watchlist on Shoonya WEB (English) - https://youtu.be/cRPZcLIrKMM

How to create a watchlist on Shoonya WEB (Hindi )- https://youtu.be/QHyL0Je6PwU",,,,,,
How to add funds and request withdrawal from Shoonya?,"Select ""Fund Transfer"" from the menu. To ""Add Funds"", click on ""PayIn"" and enter the required details. Once done, click on "" Add Funds"". For more details please find below the YouTube link:

https://youtu.be/2RNoybJylSM 

To ""Withdraw"", click on ""PayOut"", enter the amount you want to withdraw and all the required fields, and click on ""Withdraw"".",,,,,,
I forgot my shoonya password. How do I reset?,"If you have forgotten your password then; - Click on Forgot Password - Enter your Client ID, Pan Number, and registered email. 

You will receive a temporary ""One Time Password"" on your registered mail. - Enter that temporary password while logging in and then, set a new password as per your preference to continue.",,,,,,
Which exchanges are supported for trading on Shoonya?,"NSE, BSE, MCX and NCDEX are supported on Shoonya",,,,,,
How do I change my password on Shoonya ?,"To change your password: - 

Login in to your Shoonya account, and click on ""Change Password"" under Menu. 

Enter your Old Password and then set your New Password as per your preference. 

Once done, click on ""Submit"".",,,,,,
Can I login on Shoonya web and mobile application at the same time?,"Yes, you can log in to the web and mobile applications at the same time.",,,,,,
Which browsers and mobile platforms does Shoonya support?,"Shoonya supports all modern browsers for desktop: 1. Chrome - Latest stable release 2. Safari - Latest stable release 3.Firefox - Latest stable release 4 Edge - Latest stable release However, Chrome is the best browser to use the application.",,,,,,
How to save charts on ChartIQ on Shoonya Web?,"Please find below steps to save your charts:

1. Select the required time frame and chart type.

2. Apply the required indicators from the display.

3. Click ""save view"" under views.

4. Enter the view name and click the save button.",,,,,,
How to view charts on Shoonya web?,"Go to your watchlist

There in the right corner snap quote icon is there as (Q) with the buy/sell icon.

Click here and then charts and top snap quotes will be open.",,,,,,
How to cancel pending orders on Shoonya web?,Go to transaction head and in the extreme right three dots are there > click there and then click on cancel or if you want to modify then click on modify.,,,,,,
"How to invest in IPO using Shoonya Web?
","Please find below steps to invest in IPOs using Shoonya:

1) Open the MENU bar and click on the ""IPO"" option.

2) Select the IPO you want to apply for from the list of open issues and click on ""Apply"".

3) Place your bid(s):

-Select the investor type for your application that is IND (Individual).

-Enter the quantity.

-Enter Price: If you wish to apply at the cut-off price, simply click on the checkbox. If you want to place a bid at a different price, you can do so by entering a price in the ‘Price’ field.

4) Enter your UPI id and click on ""Place Order"".

5) Check your details on the ""IPO Order Confirmation"" window and ""Confirm"".

6) IPO order placed successfully and your order reference number will be generated.

7) Accept mandate request on your UPI app.

To check the status of your order you can go to ""IPO Order Book"" in Shoonya.

For more details please find below the video link: 

How to apply for IPO Shoonya web

https://youtu.be/t2X3MLgtqH8",,,,,,
Can I delete the default watchlist from Shoonya?,You cannot delete the default watchlist from Shoonya. You can delete your manual-created watchlist.,,,,,,
How do I add Futures and options contracts to my marketwatch?,"To add futures of a particular scrip, type the scrip name in the search bar followed by a space, and then the month of the contract. Click on the script, it will be added to your watchlist.

--For options type scrip name in the search bar followed by a space, month of the contract, and strike price. Click on the script, it will be added to your watchlist. ",,,,,,
